 Id G C R silaba Spearman_log Spearman_log_smooth Pearson_log_smooth Spearman_all Spearman_smooth_all
72 72,0 24000,0 4,052847345693511e-07 34000,0 3,576958281393942e+148 0,8189700482794329 0,8598015282704158 0,8493475198428894 0,8785690569634 0,9660817979285053
73 73,0 24000,0 4,052847345693511e-07 35000,0 3,576958281393942e+148 0,8185711371589962 0,8594532197814879 0,8489980530863128 0,8781390382627219 0,9656654535567466
74 74,0 24000,0 4,052847345693511e-07 36000,0 3,576958281393942e+148 0,8181709562410948 0,8591827383842034 0,84843266574781 0,8777088173461537 0,965303268005405
75 75,0 24000,0 4,052847345693511e-07 37000,0 3,576958281393942e+148 0,817813351019918 0,8587489291959103 0,8478491459485802 0,877284961566567 0,964911535090065
76 76,0 24000,0 4,052847345693511e-07 38000,0 3,576958281393942e+148 0,8174953679651198 0,8582837244836612 0,847116807271518 0,876884636171092 0,9645495242811986
77 77,0 24000,0 4,052847345693511e-07 39000,0 3,576958281393942e+148 0,8170174917615073 0,8577577031013369 0,8467735348092765 0,8764584406036721 0,96417649561886
78 78,0 24000,0 2,8144773233982713e-07 1000,0 3,576958281393942e+148 0,8265732343334926 0,8688001375735038 0,8648851232441466 0,892281860458608 0,9721675768083108
79 79,0 24000,0 2,8144773233982713e-07 2000,0 3,576958281393942e+148 0,8263939462568464 0,8685086683259546 0,8653441898676125 0,8940200225475722 0,9730142165825639
80 80,0 24000,0 2,8144773233982713e-07 3000,0 3,576958281393942e+148 0,8267005465822277 0,868995674624411 0,8659013772013658 0,8949920374094085 0,9734797554998753
81 81,0 24000,0 2,8144773233982713e-07 4000,0 3,576958281393942e+148 0,8272760608103783 0,869125033572865 0,8656053827446758 0,8951791739641646 0,9739629286561987
82 82,0 24000,0 2,8144773233982713e-07 5000,0 3,576958281393942e+148 0,8270483862901036 0,8689943035831541 0,8655258712989219 0,8948934711536748 0,9742278859057358
83 83,0 24000,0 2,8144773233982713e-07 6000,0 3,576958281393942e+148 0,8270254649566287 0,8688585401797173 0,8660208028874189 0,8943752285781525 0,9744406575631963
84 84,0 24000,0 2,8144773233982713e-07 7000,0 3,576958281393942e+148 0,8275556049651169 0,8688914946244147 0,866758359894297 0,8937400757799934 0,9745609314472902
85 85,0 24000,0 2,8144773233982713e-07 8000,0 3,576958281393942e+148 0,8292927052048775 0,8701309294061699 0,8674051653300465 0,8930412949255258 0,9746529004544654
86 86,0 24000,0 2,8144773233982713e-07 9000,0 3,576958281393942e+148 0,8299739393337208 0,8708004283019968 0,8676706360753281 0,8922150449719379 0,9745709337519618
87 87,0 24000,0 2,8144773233982713e-07 10000,0 3,576958281393942e+148 0,83070515954571 0,8716694141645498 0,8681695721150929 0,8912552870177565 0,9744012565390987
88 88,0 24000,0 2,8144773233982713e-07 11000,0 3,576958281393942e+148 0,8313708394094302 0,8726269899126811 0,8682318171268366 0,8902130539930014 0,9742469634722076
89 89,0 24000,0 2,8144773233982713e-07 12000,0 3,576958281393942e+148 0,8316099132567488 0,8726550199831921 0,868441415731277 0,8892763126775771 0,974066710935517
90 90,0 24000,0 2,8144773233982713e-07 13000,0 3,576958281393942e+148 0,8319374844274982 0,8724757530241046 0,8682396361712394 0,8885475209398327 0,973796880186426
91 91,0 24000,0 2,8144773233982713e-07 14000,0 3,576958281393942e+148 0,8318500093067102 0,8720729018241423 0,8675565232751687 0,8881851833966019 0,9735275509709332
92 92,0 24000,0 2,8144773233982713e-07 15000,0 3,576958281393942e+148 0,8313312907826961 0,871482251738962 0,8671948451643464 0,8878488721783345 0,9731894549179678
93 93,0 24000,0 2,8144773233982713e-07 16000,0 3,576958281393942e+148 0,8306010115764811 0,8708925914413866 0,8661514169469329 0,8875111630485625 0,9728677551557005
94 94,0 24000,0 2,8144773233982713e-07 17000,0 3,576958281393942e+148 0,8297632241270448 0,8701098939797887 0,8658128223859215 0,8871015999761165 0,9725934650694162
95 95,0 24000,0 2,8144773233982713e-07 18000,0 3,576958281393942e+148 0,828838104385256 0,8693979848780778 0,8654391535328206 0,8866553958947713 0,9722350319425274
96 96,0 24000,0 2,8144773233982713e-07 19000,0 3,576958281393942e+148 0,8280841109248155 0,8684035311244093 0,8649028769298909 0,88615863707881 0,971835053224799
97 97,0 24000,0 2,8144773233982713e-07 20000,0 3,576958281393942e+148 0,8271140268850296 0,8679724674085025 0,8640679740017014 0,8855343731268395 0,9714497835116608
98 98,0 24000,0 2,8144773233982713e-07 21000,0 3,576958281393942e+148 0,8268548911430544 0,8675316832216985 0,8631247025164225 0,8849314920747017 0,9710728186048634
99 99,0 24000,0 2,8144773233982713e-07 22000,0 3,576958281393942e+148 0,8258398332640672 0,866776162675783 0,8620919633012546 0,8843505813610771 0,9707224111502311
100 100,0 24000,0 2,8144773233982713e-07 23000,0 3,576958281393942e+148 0,8249027562415135 0,8661348921438025 0,8609659044207935 0,8837752386565856 0,970401321851936
101 101,0 24000,0 2,8144773233982713e-07 24000,0 3,576958281393942e+148 0,8244689846906716 0,8657008338925665 0,8598263438002809 0,8831988879518082 0,9700254258244345
102 102,0 24000,0 2,8144773233982713e-07 25000,0 3,576958281393942e+148 0,8240440739312199 0,8651088083767577 0,8586761902031829 0,8826874704985606 0,9695644415583945
103 103,0 24000,0 2,8144773233982713e-07 26000,0 3,576958281393942e+148 0,8231166662525456 0,8644020977757848 0,8575585500345129 0,8822117256938069 0,9691630353988882
104 104,0 24000,0 2,8144773233982713e-07 27000,0 3,576958281393942e+148 0,8223164536787979 0,8637574563618664 0,856526187251912 0,8817363552593829 0,9687588889596557
105 105,0 24000,0 2,8144773233982713e-07 28000,0 3,576958281393942e+148 0,8216210783378348 0,8631787504339355 0,8555466703043547 0,8812729229594871 0,9683665081355274
106 106,0 24000,0 2,8144773233982713e-07 29000,0 3,576958281393942e+148 0,8210212713234959 0,8627386036822022 0,8544481812543226 0,8808041517512808 0,9679790382557687
107 107,0 24000,0 2,8144773233982713e-07 30000,0 3,576958281393942e+148 0,8205145835719183 0,8621006763463207 0,8534109570177426 0,8803480948522333 0,9675943574474658
108 108,0 24000,0 2,8144773233982713e-07 31000,0 3,576958281393942e+148 0,8201373668612272 0,8614997588721511 0,8524756206843492 0,8799020945051819 0,9672458074826524
109 109,0 24000,0 2,8144773233982713e-07 32000,0 3,576958281393942e+148 0,8197985353066851 0,860963009678353 0,8514246313410749 0,8794537408953446 0,9668800839635326
110 110,0 24000,0 2,8144773233982713e-07 33000,0 3,576958281393942e+148 0,8193173587810227 0,8603632941509833 0,8505726452430686 0,8790207786182067 0,9665028830409238
111 111,0 24000,0 2,8144773233982713e-07 34000,0 3,576958281393942e+148 0,8190668208159914 0,8598730910282102 0,8494511229617421 0,8785887255989387 0,9660777277904612
112 112,0 24000,0 2,8144773233982713e-07 35000,0 3,576958281393942e+148 0,8186115628695606 0,8595228026244304 0,8490957045156968 0,8781499746013036 0,9656770535069061
113 113,0 24000,0 2,8144773233982713e-07 36000,0 3,576958281393942e+148 0,8181916531288213 0,8591893385987635 0,8485825237551803 0,8777121618753299 0,965289158117873
114 114,0 24000,0 2,8144773233982713e-07 37000,0 3,576958281393942e+148 0,8178494225255911 0,8588222051797069 0,8479103675711328 0,8772986057735751 0,9649023055102351
115 115,0 24000,0 2,8144773233982713e-07 38000,0 3,576958281393942e+148 0,8173604247877565 0,8582877172137663 0,8472008990452169 0,8768811468372789 0,9645297000877878
116 116,0 24000,0 2,8144773233982713e-07 39000,0 3,576958281393942e+148 0,8169981350575211 0,8577437610506696 0,8467977430414746 0,8764679490737232 0,9641681998900511
117 117,0 24000,0 2,0677792580068936e-07 1000,0 3,576958281393942e+148 0,8265535085467705 0,8688780803554441 0,8649886720541631 0,891993014888442 0,9716845591047072
118 118,0 24000,0 2,0677792580068936e-07 2000,0 3,576958281393942e+148 0,8269005061303044 0,8690684272414103 0,8656242951634491 0,8939562890682308 0,9727089777884045
119 119,0 24000,0 2,0677792580068936e-07 3000,0 3,576958281393942e+148 0,8270186999496797 0,8693911351984763 0,8661390176387138 0,8949907340980233 0,9732997968482558
120 120,0 24000,0 2,0677792580068936e-07 4000,0 3,576958281393942e+148 0,8272294401986435 0,8692102789016244 0,8657464055284291 0,8951760871142117 0,973805077197084
121 121,0 24000,0 2,0677792580068936e-07 5000,0 3,576958281393942e+148 0,8270493952986976 0,8689320024311137 0,865658786688107 0,8949073310600303 0,9741362561712887
122 122,0 24000,0 2,0677792580068936e-07 6000,0 3,576958281393942e+148 0,8272931679824638 0,8689503614219918 0,8663504058156997 0,8943990924899403 0,974380187589224
123 123,0 24000,0 2,0677792580068936e-07 7000,0 3,576958281393942e+148 0,8276279941440559 0,8690119601643609 0,8670557159313262 0,893741533802339 0,9745216087168986
124 124,0 24000,0 2,0677792580068936e-07 8000,0 3,576958281393942e+148 0,8293604264981879 0,8701554476952372 0,8676798803329161 0,8930403781090822 0,9746177011926138
125 125,0 24000,0 2,0677792580068936e-07 9000,0 3,576958281393942e+148 0,8303229536449193 0,8712756069179461 0,8679837228721384 0,8921909355259987 0,9745257423976613
126 126,0 24000,0 2,0677792580068936e-07 10000,0 3,576958281393942e+148 0,8309695424753194 0,8718134213947435 0,8685112445153799 0,8912217522423173 0,974389417169054
127 127,0 24000,0 2,0677792580068936e-07 11000,0 3,576958281393942e+148 0,8315275200694762 0,8727527264707449 0,8684541140584073 0,8902045561051117 0,9742226424967866
128 128,0 24000,0 2,0677792580068936e-07 12000,0 3,576958281393942e+148 0,8316738058211199 0,8727431734658618 0,8685475998482556 0,8892430075970542 0,9740358949865348
129 129,0 24000,0 2,0677792580068936e-07 13000,0 3,576958281393942e+148 0,8321742914992423 0,8725072540916761 0,8682290556702437 0,8885664923645993 0,9737837007458408
130 130,0 24000,0 2,0677792580068936e-07 14000,0 3,576958281393942e+148 0,8320286341418744 0,8721842165609035 0,8677544677747914 0,8882177349543029 0,9735318491819483
131 131,0 24000,0 2,0677792580068936e-07 15000,0 3,576958281393942e+148 0,8313850938054699 0,8715282999819447 0,8671863139432834 0,8878912927247591 0,9731860860192078
132 132,0 24000,0 2,0677792580068936e-07 16000,0 3,576958281393942e+148 0,8306717384113487 0,870942550190308 0,8666361923549936 0,887524790204237 0,972885499459779
133 133,0 24000,0 2,0677792580068936e-07 17000,0 3,576958281393942e+148 0,8298400738082279 0,8700868698084008 0,8658635414382103 0,8871140009836052 0,9726030169016028
134 134,0 24000,0 2,0677792580068936e-07 18000,0 3,576958281393942e+148 0,8289912087145732 0,869370358367562 0,8656789481349234 0,8866752061608563 0,9722214928047684
135 135,0 24000,0 2,0677792580068936e-07 19000,0 3,576958281393942e+148 0,8281713909882301 0,8684787576633849 0,8649563905288659 0,8861724005268283 0,9718190052843598
136 136,0 24000,0 2,0677792580068936e-07 20000,0 3,576958281393942e+148 0,8271656283335233 0,8679882380701591 0,8640882307449674 0,8855495449750295 0,9714432817299511
137 137,0 24000,0 2,0677792580068936e-07 21000,0 3,576958281393942e+148 0,8268174863392154 0,8675031530861664 0,863185393834101 0,8849466920476612 0,9710748882819731
138 138,0 24000,0 2,0677792580068936e-07 22000,0 3,576958281393942e+148 0,8258384632207305 0,8668239503271739 0,862133835092247 0,8843516199185277 0,9706974933271352
139 139,0 24000,0 2,0677792580068936e-07 23000,0 3,576958281393942e+148 0,8249549046891232 0,8662350063760061 0,8609955732687938 0,8837696067952076 0,9703857845226254
140 140,0 24000,0 2,0677792580068936e-07 24000,0 3,576958281393942e+148 0,8245723731318201 0,8657312700624047 0,859865910626534 0,8831873111141296 0,970016388007451
141 141,0 24000,0 2,0677792580068936e-07 25000,0 3,576958281393942e+148 0,8240993219930338 0,8650794725271977 0,8585263221507397 0,8826860952903421 0,9695553628925209
142 142,0 24000,0 2,0677792580068936e-07 26000,0 3,576958281393942e+148 0,8231309654929391 0,8644067518894843 0,8575283275346409 0,8822184233404561 0,9691662363633213
143 143,0 24000,0 2,0677792580068936e-07 27000,0 3,576958281393942e+148 0,8224186924964944 0,8637452973431117 0,8567014374696305 0,8817587155620624 0,9687691567821145
